idx,status,elapsed_ms,error
0,200,561.915,
1,200,102.143,
2,200,3747.197,
3,200,252.398,
4,200,3349.314,
5,200,2715.866,
6,200,1189.655,
7,200,1246.764,
8,200,1990.643,
9,200,5828.765,
10,200,155.102,
11,200,106.533,
12,200,2497.84,
13,200,3248.199,
14,200,172.583,
15,200,2239.34,
16,200,762.509,
17,200,3773.511,
18,200,181.454,
19,200,6535.351,
20,200,852.099,
21,200,615.492,
22,200,811.719,
23,200,4095.215,
24,200,2726.494,
25,200,2064.861,
26,200,8843.56,
27,200,4000.668,
28,200,4603.594,
29,200,4401.236,
30,200,3549.28,
31,200,5359.764,
32,200,6266.963,
33,200,1670.006,
34,200,1374.272,
35,200,837.198,
36,200,2341.991,
37,200,155.717,
38,200,388.946,
39,200,4173.518,
40,200,1194.831,
41,200,169.736,
42,200,4846.714,
43,200,4655.988,
44,200,323.233,
45,200,2593.308,
46,200,1639.923,
47,200,181.794,
48,200,5148.341,
49,200,1045.319,
50,200,2050.263,
51,200,2014.384,
52,200,3331.093,
53,200,1749.656,
54,200,1631.59,
55,200,433.64,
56,200,2847.271,
57,-1,4.583,URLError: <urlopen error [WinError 10014] 호출에 대한 포인터 인수를 사용하려는 동안 시스템에서 잘못된 포인터 주소를 감지했습니다>
58,200,486.133,
59,200,4104.862,
60,200,3326.238,
61,200,511.248,
62,200,1863.324,
63,200,3079.713,
64,200,1632.219,
65,200,16589.634,
66,200,347.292,
67,200,1644.519,
68,200,154.429,
69,200,795.727,
70,200,3956.895,
71,200,173.094,
72,200,2278.316,
73,200,1749.026,
74,200,332.711,
75,200,2021.279,
76,200,2564.155,
77,200,243.796,
78,200,543.109,
79,200,3024.586,
80,200,3648.702,
81,200,1658.73,
82,200,1139.768,
83,200,3340.415,
84,200,2759.776,
85,200,1058.575,
86,200,1722.326,
87,200,2669.819,
88,200,2814.928,
89,200,4416.664,
90,200,1372.824,
91,200,1812.866,
92,200,922.28,
93,200,1391.049,
94,200,2204.333,
95,200,1141.795,
96,200,1042.179,
97,200,2213.37,
98,200,4218.51,
99,200,2229.024,
100,200,2085.665,
101,200,1197.963,
102,200,3071.923,
103,200,9936.91,
104,200,2969.645,
105,200,1940.242,
106,200,575.681,
107,200,3009.158,
108,200,3691.285,
109,200,319.813,
110,200,3151.838,
111,200,644.884,
112,200,4699.621,
113,200,4967.807,
114,200,4316.417,
115,200,1930.653,
116,200,1183.621,
117,200,5420.743,
118,200,3438.133,
119,200,332.448,
120,200,7356.714,
121,200,2188.821,
122,200,3750.96,
123,200,641.657,
124,200,4584.822,
125,200,6667.145,
126,200,3352.194,
127,200,5547.217,
128,200,2367.911,
129,200,2902.504,
130,200,1048.303,
131,200,1403.514,
132,200,3119.993,
133,200,3919.342,
134,200,2381.593,
135,200,3313.977,
136,200,3545.867,
137,200,3817.29,
138,200,1587.779,
139,200,3179.049,
140,200,1800.407,
141,200,1148.283,
142,200,2114.04,
143,200,3360.026,
144,200,6198.961,
145,200,6656.869,
146,200,2950.658,
147,200,1883.235,
148,200,3422.478,
149,200,4113.771,
150,200,2901.75,
151,200,8897.533,
152,200,5583.331,
153,200,3582.158,
154,200,3305.869,
155,200,3009.218,
156,200,4058.924,
157,200,4110.833,
158,200,4438.075,
159,200,3028.846,
160,200,2640.185,
161,200,2187.865,
162,200,4240.138,
163,200,3170.554,
164,200,5585.339,
165,200,2360.824,
166,200,7045.949,
167,200,5663.604,
168,200,2641.675,
169,200,4961.973,
170,200,3930.62,
171,200,4254.384,
172,200,7091.454,
173,200,2512.548,
174,200,5666.879,
175,200,2212.303,
176,200,3160.772,
177,200,3322.653,
178,200,4359.128,
179,200,4218.785,
180,200,4631.176,
181,200,6028.883,
182,200,3045.981,
183,200,4245.073,
184,200,2929.996,
185,200,3056.693,
186,200,13720.54,
187,200,4012.059,
188,200,2345.762,
189,200,3385.927,
190,200,6110.236,
191,200,3167.94,
192,200,5454.303,
193,200,2531.063,
194,200,2961.996,
195,200,3516.461,
196,200,3061.983,
197,200,3849.665,
198,200,4828.401,
199,200,3591.546,
200,200,3693.521,
201,200,4227.584,
202,200,17022.451,
203,200,5198.094,
204,200,7582.071,
205,200,3192.112,
206,200,6338.337,
207,200,17130.29,
208,200,4217.024,
209,200,8922.781,
210,200,3334.103,
211,200,7142.397,
212,200,3271.751,
213,200,5512.059,
214,200,4447.903,
215,200,3828.57,
216,200,3538.381,
217,200,4200.694,
218,200,3803.258,
219,200,3037.774,
220,200,4338.907,
221,200,5174.459,
222,200,4535.594,
223,200,3975.24,
224,200,6048.997,
225,200,4494.54,
226,200,3234.551,
227,200,4286.499,
228,200,3802.412,
229,200,6154.176,
230,200,5674.086,
231,200,3313.885,
232,200,3688.632,
233,200,3995.039,
234,200,7002.228,
235,200,4548.151,
236,200,4229.684,
237,200,4303.44,
238,200,3386.487,
239,200,3584.55,
240,200,6060.385,
241,200,5034.019,
242,200,4379.914,
243,200,7546.977,
244,200,3407.044,
245,200,5088.564,
246,200,3639.325,
247,200,3586.467,
248,200,4060.586,
249,200,5325.953,
250,200,6024.005,
251,200,6073.454,
252,200,4910.501,
253,200,5796.065,
254,200,5019.676,
255,200,5834.744,
256,200,7115.408,
257,200,4808.553,
258,200,4723.509,
259,200,10237.115,
260,200,4948.463,
261,200,5558.298,
262,200,3834.827,
263,200,3851.059,
264,200,7679.962,
265,200,7324.291,
266,200,5169.721,
267,200,4310.382,
268,200,4728.216,
269,200,5383.95,
270,200,8133.479,
271,200,4854.524,
272,200,4016.322,
273,200,4290.873,
274,200,5983.795,
275,200,11248.658,
276,200,4563.038,
277,200,4618.98,
278,200,4928.844,
279,200,4053.599,
280,200,7184.455,
281,200,5078.76,
282,200,4312.732,
283,200,5980.523,
284,200,4096.242,
285,200,4121.377,
286,200,4951.674,
287,200,4230.542,
288,200,4058.286,
289,200,7398.234,
290,200,9803.82,
291,200,5110.93,
292,200,6007.611,
293,200,6300.426,
294,200,5600.588,
295,200,5025.944,
296,200,12249.847,
297,200,4583.935,
298,200,4386.825,
299,200,10106.513,
300,200,4083.108,
301,200,4248.633,
302,200,4200.462,
303,200,6045.507,
304,200,4504.065,
305,200,4262.446,
306,200,6149.371,
307,200,4209.249,
308,200,6334.195,
309,200,11965.733,
310,200,4186.896,
311,200,4532.905,
312,200,5332.707,
313,200,9641.7,
314,200,4250.256,
315,200,5161.134,
316,200,6649.609,
317,200,4413.594,
318,200,4840.405,
319,200,5201.112,
320,200,6026.656,
321,200,8461.633,
322,200,4974.731,
323,200,4770.894,
324,200,4749.987,
325,200,11982.95,
326,200,4708.677,
327,200,6759.191,
328,200,4412.767,
329,200,5515.751,
330,200,7595.812,
331,-1,7.622,URLError: <urlopen error [WinError 10014] 호출에 대한 포인터 인수를 사용하려는 동안 시스템에서 잘못된 포인터 주소를 감지했습니다>
332,-1,2.84,URLError: <urlopen error [WinError 10014] 호출에 대한 포인터 인수를 사용하려는 동안 시스템에서 잘못된 포인터 주소를 감지했습니다>
333,-1,1.87,URLError: <urlopen error [WinError 10014] 호출에 대한 포인터 인수를 사용하려는 동안 시스템에서 잘못된 포인터 주소를 감지했습니다>
334,-1,1.087,URLError: <urlopen error [WinError 10014] 호출에 대한 포인터 인수를 사용하려는 동안 시스템에서 잘못된 포인터 주소를 감지했습니다>
335,-1,1.655,URLError: <urlopen error [WinError 10014] 호출에 대한 포인터 인수를 사용하려는 동안 시스템에서 잘못된 포인터 주소를 감지했습니다>
336,-1,8.102,URLError: <urlopen error [WinError 10014] 호출에 대한 포인터 인수를 사용하려는 동안 시스템에서 잘못된 포인터 주소를 감지했습니다>
337,200,4881.601,
338,200,7097.962,
339,200,4472.075,
340,-1,2.712,URLError: <urlopen error [WinError 10014] 호출에 대한 포인터 인수를 사용하려는 동안 시스템에서 잘못된 포인터 주소를 감지했습니다>
341,-1,1.259,URLError: <urlopen error [WinError 10014] 호출에 대한 포인터 인수를 사용하려는 동안 시스템에서 잘못된 포인터 주소를 감지했습니다>
342,-1,0.689,URLError: <urlopen error [WinError 10014] 호출에 대한 포인터 인수를 사용하려는 동안 시스템에서 잘못된 포인터 주소를 감지했습니다>
343,200,6770.191,
344,200,5636.585,
345,200,6153.013,
346,200,12584.172,
347,200,5412.46,
348,200,4954.276,
349,200,5100.859,
350,200,5902.078,
351,200,7755.433,
352,200,5276.085,
353,200,7509.321,
354,200,4554.472,
355,200,4569.577,
356,200,4939.406,
357,200,13680.651,
358,200,5474.936,
359,200,5306.973,
360,200,5839.99,
361,200,8989.374,
362,200,5174.375,
363,200,4981.276,
364,200,7105.471,
365,200,8108.656,
366,200,5350.65,
367,200,9315.06,
368,200,5919.569,
369,200,8036.298,
370,200,9952.599,
371,200,6200.022,
372,200,6301.753,
373,200,6920.7,
374,200,6259.124,
375,200,7561.641,
376,200,10691.751,
377,200,5145.869,
378,200,7137.167,
379,200,7643.323,
380,200,6800.801,
381,200,6001.281,
382,200,6418.426,
383,200,5976.165,
384,200,5057.722,
385,200,7287.934,
386,200,5619.873,
387,200,5334.411,
388,200,6061.417,
389,200,9336.612,
390,200,11880.684,
391,200,6296.633,
392,200,13662.92,
393,200,6696.745,
394,200,7781.482,
395,200,5469.176,
396,200,5176.432,
397,200,6595.705,
398,200,5709.862,
399,200,8349.468,
400,200,8125.557,
401,200,5402.024,
402,200,8789.14,
403,200,6490.65,
404,200,7510.932,
405,200,5454.432,
406,200,10383.4,
407,200,8838.711,
408,200,5841.268,
409,200,10153.628,
410,200,5300.801,
411,200,5517.69,
412,200,5548.929,
413,200,8618.405,
414,200,6187.552,
415,200,8396.926,
416,200,5656.106,
417,200,11685.48,
418,200,5416.094,
419,200,6570.476,
420,200,6628.918,
421,200,6094.78,
422,200,6996.378,
423,200,6239.839,
424,200,10011.26,
425,200,6031.288,
426,200,5518.006,
427,200,12928.516,
428,200,5685.636,
429,200,6610.119,
430,200,7100.281,
431,200,5639.908,
432,200,6046.872,
433,200,5685.34,
434,200,5597.643,
435,200,6336.16,
436,200,8234.849,
437,200,5951.746,
438,200,5833.42,
439,200,5681.045,
440,200,10180.281,
441,200,9834.063,
442,200,6287.91,
443,200,5912.419,
444,200,8033.015,
445,200,8698.301,
446,200,5836.638,
447,200,5883.69,
448,200,7157.944,
449,200,7458.099,
450,200,8986.812,
451,200,6354.024,
452,200,9174.891,
453,200,6784.592,
454,200,6681.984,
455,200,6200.892,
456,200,6136.312,
457,200,6346.352,
458,200,9687.909,
459,200,10536.555,
460,200,6074.921,
461,200,6811.287,
462,200,6201.941,
463,200,7354.21,
464,200,6345.179,
465,200,6570.119,
466,200,6513.782,
467,200,9740.04,
468,200,6885.061,
469,200,12011.805,
470,200,7374.515,
471,200,8239.99,
472,200,6135.561,
473,200,9838.653,
474,200,6242.25,
475,200,8313.18,
476,200,6655.767,
477,200,6941.624,
478,200,7406.598,
479,200,7501.239,
480,200,6990.831,
481,200,12997.709,
482,200,7184.987,
483,200,6362.776,
484,200,7068.734,
485,200,7764.886,
486,200,10190.443,
487,200,10509.86,
488,200,10703.441,
489,200,6802.812,
490,200,7092.79,
491,200,8247.406,
492,200,7441.901,
493,200,6399.896,
494,200,6830.761,
495,200,7501.202,
496,200,9291.142,
497,200,7508.334,
498,200,6722.901,
499,200,8190.931,
500,200,7840.703,
501,200,6559.407,
502,200,7043.173,
503,200,7903.991,
504,200,7786.085,
505,200,11454.754,
506,200,9175.658,
507,200,6732.17,
508,200,7548.032,
509,200,11003.706,
510,200,9503.084,
511,200,7437.357,
512,200,6873.779,
513,200,9954.319,
514,200,7486.937,
515,200,8941.072,
516,200,9400.783,
517,200,7936.914,
518,200,7217.331,
519,200,7176.978,
520,200,7343.447,
521,200,7962.368,
522,200,9533.834,
523,200,7398.871,
524,200,7495.525,
525,200,9254.231,
526,200,8373.738,
527,200,9040.934,
528,200,9481.196,
529,200,9175.852,
530,200,8203.769,
531,200,7741.992,
532,200,8009.162,
533,200,7552.947,
534,200,8364.673,
535,200,7850.582,
536,200,11507.502,
537,200,8625.866,
538,200,8071.436,
539,200,8292.386,
540,200,7478.499,
541,200,7920.729,
542,200,8091.884,
543,200,7884.015,
544,200,8971.053,
545,200,13365.964,
546,200,7548.447,
547,200,8662.564,
548,200,9989.418,
549,200,7491.398,
550,200,12839.18,
551,200,10670.079,
552,200,7517.303,
553,200,13680.219,
554,200,7756.381,
555,200,10619.308,
556,200,9707.551,
557,200,9637.442,
558,200,9719.581,
559,200,11285.066,
560,200,9072.296,
561,200,8429.192,
562,200,8794.302,
563,200,7906.87,
564,200,8464.229,
565,200,12292.91,
566,200,7708.91,
567,200,8530.57,
568,200,8511.606,
569,200,8688.447,
570,200,7745.085,
571,200,8148.178,
572,200,10896.553,
573,200,8462.019,
574,200,12888.181,
575,200,8190.439,
576,200,8689.483,
577,200,13436.395,
578,200,8320.944,
579,200,7927.406,
580,200,8286.202,
581,200,8843.527,
582,200,8363.009,
583,200,8924.86,
584,200,8549.459,
585,200,8071.195,
586,200,13972.37,
587,200,10119.593,
588,200,8012.204,
589,200,9435.904,
590,200,8117.15,
591,200,8095.708,
592,200,8745.145,
593,200,8594.653,
594,200,9651.736,
595,200,8489.267,
596,200,9436.629,
597,200,8628.582,
598,200,8338.442,
599,200,11624.294,
600,200,9604.231,
601,200,8275.4,
602,200,9322.191,
603,200,9215.532,
604,200,11298.38,
605,200,8967.031,
606,200,11337.577,
607,200,13634.267,
608,200,14387.153,
609,200,8362.143,
